Station Name,Year,Month,Day,Time,Temp,DewPointTemp,PercRelHum,Precip_mm,WindDir,WindSpd,kPa
COLLINGWOOD,2020,12,4,0:00,3,-0.5,78,0,18,2,98.85
COLLINGWOOD,2020,12,4,1:00,3.2,-0.2,78,0,22,7,98.81
COLLINGWOOD,2020,12,4,2:00,3.2,-0.8,75,0,24,11,98.81
COLLINGWOOD,2020,12,4,3:00,3.2,-1.2,73,0,20,13,98.8
COLLINGWOOD,2020,12,4,4:00,3,-1,75,0,22,14,98.73
COLLINGWOOD,2020,12,4,5:00,3.1,-0.4,78,0,20,8,98.72
COLLINGWOOD,2020,12,4,6:00,2.5,0.1,84,0,18,6,98.69
COLLINGWOOD,2020,12,4,7:00,1.4,0.1,91,0,13,5,98.67
COLLINGWOOD,2020,12,4,8:00,1.2,0.1,92,0.2,12,3,98.67
COLLINGWOOD,2020,12,4,9:00,2.3,0.2,86,0,19,6,98.66
COLLINGWOOD,2020,12,4,10:00,3,0.6,84,0,23,6,98.67
COLLINGWOOD,2020,12,4,11:00,3.5,0.8,82,0,22,11,98.68
COLLINGWOOD,2020,12,4,12:00,3.5,0.6,81,0,25,8,98.65
COLLINGWOOD,2020,12,4,13:00,4.2,0.8,79,0,21,11,98.64
COLLINGWOOD,2020,12,4,14:00,3.9,1.1,82,0,24,7,98.66
COLLINGWOOD,2020,12,4,15:00,3.7,1,82,0,24,7,98.69
COLLINGWOOD,2020,12,4,16:00,3.2,0.6,83,0,26,7,98.74
COLLINGWOOD,2020,12,4,17:00,2.9,0.4,84,0,26,8,98.78
COLLINGWOOD,2020,12,4,18:00,2.8,0.3,83,0,27,7,98.85
COLLINGWOOD,2020,12,4,19:00,2.6,0.3,85,0,28,6,98.89
COLLINGWOOD,2020,12,4,20:00,2.5,0.1,84,0,27,5,98.93
COLLINGWOOD,2020,12,4,21:00,1.9,0.8,93,0.2,27,6,99
COLLINGWOOD,2020,12,4,22:00,3.2,0.5,82,0,34,22,99.04
COLLINGWOOD,2020,12,4,23:00,3,0,81,0,34,19,99.08
