Station Name,Year,Month,Day,Time,Temp,DewPointTemp,PercRelHum,Precip_mm,WindDir,WindSpd,kPa
COLLINGWOOD,2020,12,2,0:00,-0.6,-1.6,93,0,35,47,98.34
COLLINGWOOD,2020,12,2,1:00,-0.7,-1.3,95,0,34,46,98.41
COLLINGWOOD,2020,12,2,2:00,-0.5,-1.3,94,0.2,34,50,98.47
COLLINGWOOD,2020,12,2,3:00,-0.4,-1.6,91,0,34,48,98.54
COLLINGWOOD,2020,12,2,4:00,-0.4,-1.6,91,0,34,51,98.58
COLLINGWOOD,2020,12,2,5:00,-0.1,-1.4,91,0,34,47,98.71
COLLINGWOOD,2020,12,2,6:00,-0.3,-1.8,90,0,33,46,98.81
COLLINGWOOD,2020,12,2,7:00,-0.4,-2.1,88,0,33,40,98.89
COLLINGWOOD,2020,12,2,8:00,0,-2.5,84,0,33,41,98.97
COLLINGWOOD,2020,12,2,9:00,0.4,-3.3,76,0,32,35,99.05
COLLINGWOOD,2020,12,2,10:00,0.6,-3.6,73,1.2,30,16,99.15
COLLINGWOOD,2020,12,2,11:00,0.5,-5.3,65,0,30,20,99.22
COLLINGWOOD,2020,12,2,12:00,1.2,-6.9,55,0,30,21,99.22
COLLINGWOOD,2020,12,2,13:00,2.3,-7.5,48,0,31,22,99.28
COLLINGWOOD,2020,12,2,14:00,3.9,-5.8,49,0,30,21,99.29
COLLINGWOOD,2020,12,2,15:00,4.2,-4.5,53,0,30,19,99.34
COLLINGWOOD,2020,12,2,16:00,3.4,-4.4,56,0,28,16,99.38
COLLINGWOOD,2020,12,2,17:00,2.6,-3,67,0,28,16,99.4
COLLINGWOOD,2020,12,2,18:00,2.4,-2.7,69,0,27,13,99.44
COLLINGWOOD,2020,12,2,19:00,2.5,-3.1,66,0,24,11,99.44
COLLINGWOOD,2020,12,2,20:00,2.7,-2.8,67,0,22,10,99.43
COLLINGWOOD,2020,12,2,21:00,2.4,-3.1,67,0,19,6,99.35
COLLINGWOOD,2020,12,2,22:00,3.2,-2.6,66,0,25,6,99.33
COLLINGWOOD,2020,12,2,23:00,3.5,-1.9,68,0,25,10,99.28
COLLINGWOOD,2020,12,3,0:00,3,-2,70,0,27,11,99.3
COLLINGWOOD,2020,12,3,1:00,2.7,-2,71,0,24,11,99.28
COLLINGWOOD,2020,12,3,2:00,3.2,-1.8,69,0,23,10,99.22
COLLINGWOOD,2020,12,3,3:00,3.3,-2,68,0,22,8,99.15
COLLINGWOOD,2020,12,3,4:00,2.5,-2.3,71,0,18,5,99.19
COLLINGWOOD,2020,12,3,5:00,2.7,-1.6,73,0,19,5,99.22
COLLINGWOOD,2020,12,3,6:00,3.1,-1,74,0,22,7,99.19
COLLINGWOOD,2020,12,3,7:00,3.1,-0.7,76,0,24,7,99.22
COLLINGWOOD,2020,12,3,8:00,2.9,-0.9,76,0,26,7,99.24
COLLINGWOOD,2020,12,3,9:00,2.9,-0.6,78,0,27,7,99.29
COLLINGWOOD,2020,12,3,10:00,2.8,-0.6,79,0,28,11,99.3
